player_name,team,position,role_tier,touch_share,target_share,job_security,team_changed,new_play_caller,situation_note,confidence,last_updated
Diontae Johnson,HOU,WR,,,,,0,0,,,
Xavier Legette,CAR,WR,,,,,0,0,,,
KaVontae Turpin,DAL,WR,,,,,0,0,,,
Adonai Mitchell,NYJ,WR,,,,,0,0,,,
Tyquan Thornton,KC,WR,,,,,0,0,,,
Calvin Austin III,PIT,WR,,,,,0,0,,,
Ricky Pearsall,SF,WR,wr2,,,,0,0,,low,2026-08-18
Mike Evans,TB,WR,,,,,0,0,,,
David Moore,CAR,WR,,,,,0,0,,,
Isaac TeSlaa,DET,WR,,,,,0,0,,,
Chris Godwin Jr.,TB,WR,,,,,0,0,,,
Darnell Mooney,ATL,WR,,,,,0,0,,,
Olamide Zaccheaus,CHI,WR,,,,,0,0,,,
Sterling Shepard,TB,WR,,,,,0,0,,,
Dontayvion Wicks,GB,WR,,,,,0,0,,,
Greg Dortch,ARI,WR,,,,,0,0,,,
Pat Bryant,DEN,WR,,,,,0,0,,,
Tyler Boyd,TEN,WR,,,,,0,0,,,
Tory Horton,SEA,WR,,,,,0,0,,,
JuJu Smith-Schuster,KC,WR,,,,,0,0,,,
DeAndre Hopkins,BAL,WR,,,,,0,0,,,
Matthew Golden,GB,WR,wr2,,,,0,0,,low,2026-08-18
Van Jefferson,TEN,WR,,,,,0,0,,,
Jaylin Noel,HOU,WR,,,,,0,0,,,
John Metchie III,NYJ,WR,,,,,0,0,,,
Kalif Raymond,DET,WR,,,,,0,0,,,
Tre Harris,LAC,WR,,,,,0,0,,,
Devaughn Vele,NO,WR,,,,,0,0,,,
Justin Watson,KC,WR,,,,,0,0,,,
Tyler Lockett,LV,WR,,,,,0,0,,,
Brandon Aiyuk,SF,WR,,,,,0,0,,,
Cedric Tillman,CLE,WR,,,,,0,0,,,
Malik Nabers,NYG,WR,alpha_wr,,,,0,1,Torn ACL under a year ago but showed up healthy to camp - fast riser. Led NFL 11.3 tgt/gm in 2024.,medium,2026-08-18
Isaiah Williams,NYJ,WR,,,,,0,0,,,
Demarcus Robinson,SF,WR,,,,,0,0,,,
Mike Williams,PIT,WR,,,,,0,0,,,
Rashod Bateman,BAL,WR,,,,,0,0,,,
Luke McCaffrey,WAS,WR,,,,,0,0,,,
Isaiah Bond,CLE,WR,,,,,0,0,,,
Tim Patrick,JAX,WR,,,,,0,0,,,
Kyle Williams,NE,WR,,,,,0,0,,,
Christian Kirk,HOU,WR,,,,,0,0,,,
Jaylin Lane,WAS,WR,,,,,0,0,,,
Tyreek Hill,MIA,WR,,,,,0,0,,,
Nelson Agholor,BAL,WR,,,,,0,0,,,
Josh Palmer,BUF,WR,,,,,0,0,,,
Jahan Dotson,PHI,WR,,,,,0,0,,,
David Sills,ATL,WR,,,,,0,0,,,
Brandin Cooks,BUF,WR,,,,,0,0,,,
Dyami Brown,JAX,WR,,,,,0,0,,,
Xavier Smith,LA,WR,,,,,0,0,,,
DJ Turner,LV,WR,,,,,0,0,,,
Jayden Reed,GB,WR,alpha_wr,,,,0,0,YPRR crusher with less target competition than ever (Doubs and Wicks gone).,medium,2026-08-18
Calvin Ridley,TEN,WR,wr2,,,,0,0,Target competition from Tate and W. Robinson.,low,2026-08-18
Tyrell Shavers,BUF,WR,,,,,0,0,,,
Jalen Tolbert,DAL,WR,,,,,0,0,,,
Devontez Walker,BAL,WR,,,,,0,0,,,
Chris Moore,WAS,WR,,,,,0,0,,,
Roman Wilson,PIT,WR,,,,,0,0,,,
Jack Bech,LV,WR,,,,,0,0,,,
Tyler Johnson,NYJ,WR,,,,,0,0,,,
Gunner Olszewski,NYG,WR,,,,,0,0,,,
Adam Thielen,PIT,WR,,,,,0,0,,,
Trey Palmer,TB,WR,,,,,0,0,,,
Hunter Renfrow,CAR,WR,,,,,0,0,,,
Robert Woods,HOU,WR,,,,,0,0,,,
Tutu Atwell,LA,WR,,,,,0,0,,,
Lil'Jordan Humphrey,DEN,WR,,,,,0,0,,,
Mitchell Tinsley,CIN,WR,,,,,0,0,,,
Jordan Whittington,LA,WR,,,,,0,0,,,
Mecole Hardman,KC,WR,,,,,0,0,,,
Ja'Lynn Polk,NE,WR,,,,,0,0,,,
Kevin Austin Jr.,NO,WR,,,,,0,0,,,
Malachi Corley,CLE,WR,,,,,0,0,,,
Marquez Valdes-Scantling,PIT,WR,,,,,0,0,,,
Gabe Davis,BUF,WR,,,,,0,0,,,
Zay Jones,ARI,WR,,,,,0,0,,,
Elijah Moore,BUF,WR,,,,,0,0,,,
Treylon Burks,WAS,WR,,,,,0,0,,,
Jalen McMillan,TB,WR,,,,,0,0,,,
Jamison Crowder,WAS,WR,,,,,0,0,,,
Jahdae Walker,CHI,WR,,,,,0,0,,,
Jimmy Horn Jr.,CAR,WR,,,,,0,0,,,
Brycen Tremayne,CAR,WR,,,,,0,0,,,
Isaiah Hodgins,NYG,WR,,,,,0,0,,,
Bub Means,NO,WR,,,,,0,0,,,
Bo Melton,GB,WR,,,,,0,0,,,
Savion Williams,GB,WR,,,,,0,0,,,
Konata Mumpfield,LA,WR,,,,,0,0,,,
Dont'e Thornton Jr.,LV,WR,,,,,0,0,,,
Allen Lazard,NYJ,WR,,,,,0,0,,,
Curtis Samuel,BUF,WR,,,,,0,0,,,
Josh Reynolds,NYJ,WR,,,,,0,0,,,
Ashton Dulin,IND,WR,,,,,0,0,,,
Rakim Jarrett,TB,WR,,,,,0,0,,,
Cody White,SEA,WR,,,,,0,0,,,
Jamari Thrash,CLE,WR,,,,,0,0,,,
Kameron Johnson,TB,WR,,,,,0,0,,,
K.J. Osborn,WAS,WR,,,,,0,0,,,
Dante Pettis,NO,WR,,,,,0,0,,,
Efton Chism III,NE,WR,,,,,0,0,,,
Mason Tipton,NO,WR,,,,,0,0,,,
Ben Skowronek,PIT,WR,,,,,0,0,,,
Nick Westbrook-Ikhine,MIA,WR,,,,,0,0,,,
Darius Cooper,PHI,WR,,,,,0,0,,,
KeAndre Lambert-Smith,LAC,WR,,,,,0,0,,,
Michael Bandy,DEN,WR,,,,,0,0,,,
Jermaine Burton,CIN,WR,,,,,0,0,,,
Tylan Wallace,BAL,WR,,,,,0,0,,,
Bryce Oliver,TEN,WR,,,,,0,0,,,
Casey Washington,ATL,WR,,,,,0,0,,,
Johnny Wilson,PHI,WR,,,,,0,0,,,
Skyy Moore,SF,WR,,,,,0,0,,,
Laviska Shenault Jr.,SEA,WR,,,,,0,0,,,
Parris Campbell,PHI,WR,,,,,0,0,,,
Malik Heath,GB,WR,,,,,0,0,,,
Jalen Reagor,LAC,WR,,,,,0,0,,,
DJ Chark,LAC,WR,,,,,0,0,,,
Gage Larvadain,CLE,WR,,,,,0,0,,,
Noah Brown,WAS,WR,,,,,0,0,,,
Scott Miller,PIT,WR,,,,,0,0,,,
Jacob Cowing,SF,WR,,,,,0,0,,,
Chris Conley,SF,WR,,,,,0,0,,,
Brandon Powell,MIN,WR,,,,,0,0,,,
Ray-Ray McCloud,NYG,WR,,,,,0,0,,,
Ryan Miller,TB,WR,,,,,0,0,,,
Xavier Weaver,ARI,WR,,,,,0,0,,,
River Cracraft,MIA,WR,,,,,0,0,,,
Mike Woods,CLE,WR,,,,,0,0,,,
Odell Beckham Jr.,MIA,WR,,,,,0,0,,,
Arian Smith,NYJ,WR,,,,,0,0,,,
James Proche,TEN,WR,,,,,0,0,,,
Dee Eskridge,MIA,WR,,,,,0,0,,,
Dylan Drummond,ATL,WR,,,,,0,0,,,
Cedrick Wilson Jr.,MIA,WR,,,,,0,0,,,
Braxton Berrios,HOU,WR,,,,,0,0,,,
Jalen Brooks,ARI,WR,,,,,0,0,,,
Austin Trammell,JAX,WR,,,,,0,0,,,
Jalin Hyatt,NYG,WR,,,,,0,0,,,
Bryce Ford-Wheaton,NYG,WR,,,,,0,0,,,
Charlie Jones,CIN,WR,,,,,0,0,,,
Ihmir Smith-Marsette,NYG,WR,,,,,0,0,,,
Dareke Young,SEA,WR,,,,,0,0,,,
Mason Kinsey,TEN,WR,,,,,0,0,,,
Terrace Marshall Jr.,LV,WR,,,,,0,0,,,
Tom Kennedy,DET,WR,,,,,0,0,,,
Tim Jones,JAX,WR,,,,,0,0,,,
Dan Chisena,CAR,WR,,,,,0,0,,,
Deven Thompkins,ATL,WR,,,,,0,0,,,
KhaDarel Hodge,ATL,WR,,,,,0,0,,,
Allen Robinson,DET,WR,,,,,0,0,,,
Tai Felton,MIN,WR,,,,,0,0,,,
Nikko Remigio,KC,WR,,,,,0,0,,,
Trent Sherfield,ARI,WR,,,,,0,0,,,
Devin Duvernay,CHI,WR,,,,,0,0,,,
Beaux Collins,NYG,WR,,,,,0,0,,,
Velus Jones Jr.,SEA,WR,,,,,0,0,,,
Ronnie Bell,SF,WR,,,,,0,0,,,
Jonathan Mingo,DAL,WR,,,,,0,0,,,
Britain Covey,PHI,WR,,,,,0,0,,,
Jake Bobo,SEA,WR,,,,,0,0,,,
Trenton Irwin,CIN,WR,,,,,0,0,,,
Derius Davis,LAC,WR,,,,,0,0,,,
Alex Bachman,LV,WR,,,,,0,0,,,
Ke'Shawn Williams,CIN,WR,,,,,0,0,,,
Andre Baccellia,ARI,WR,,,,,0,0,,,
Javon Baker,NE,WR,,,,,0,0,,,
Xavier Gipson,PHI,WR,,,,,0,0,,,
Anthony Gould,IND,WR,,,,,0,0,,,
Collin Johnson,CHI,WR,,,,,0,0,,,
Jaelon Darden,SEA,WR,,,,,0,0,,,
Tyler Scott,CHI,WR,,,,,0,0,,,
Jha'Quan Jackson,TEN,WR,,,,,0,0,,,
DeAndre Carter,CLE,WR,,,,,0,0,,,
Irvin Charles,NYJ,WR,,,,,0,0,,,
Myles Price,MIN,WR,,,,,0,0,,,
Jamal Agnew,ATL,WR,,,,,0,0,,,
Deonte Harty,BAL,WR,,,,,0,0,,,
LaJohntay Wester,BAL,WR,,,,,0,0,,,
Steven Sims,BAL,WR,,,,,0,0,,,
Laquon Treadwell,IND,WR,,,,,0,0,,,
Simi Fehoko,ARI,WR,,,,,0,0,,,
Jermaine Jackson,NO,WR,,,,,0,0,,,
Brian Thomas,JAX,WR,alpha_wr,,,,0,0,,medium,2026-08-18
Carnell Tate,TEN,WR,alpha_wr,,,,0,0,"Rookie, No. 4 overall pick. Competition is W. Robinson, Ridley, Dike, Helm - team believes he's a true No. 1.",low,2026-08-18
Chris Godwin,TB,WR,slot,,,,0,0,FADE per multiple tiers.,low,2026-08-18
Marvin Harrison,ARI,WR,alpha_wr,,,,0,0,,medium,2026-08-18
Travis Hunter,JAX,WR,wr2,,,,0,0,,low,2026-08-18
