player_name,team,position,role_tier,touch_share,target_share,job_security,team_changed,new_play_caller,situation_note,confidence,last_updated
Blake Corum,LA,RB,handcuff,,,,0,0,,low,2026-08-18
Tyler Allgeier,ATL,RB,,,,,0,0,,,
Cam Skattebo,NYG,RB,lead_committee,,,,0,1,"Starter. Nagy OC / Roman influence, heavy formations.",medium,2026-08-18
Austin Ekeler,WAS,RB,,,,,0,0,,,
J.K. Dobbins,DEN,RB,lead_committee,,,,0,0,Harvey averaged 7.5 touches when Dobbins active.,medium,2026-08-18
Chuba Hubbard,CAR,RB,even_committee,,,,0,0,"UPDATE Aug: hamstring, weeks-long absence. Brooks overtaking him.",low,2026-08-18
Kimani Vidal,LAC,RB,,,,,0,0,,,
Aaron Jones,MIN,RB,even_committee,,,,0,0,Jordan Mason competing for starts; Jones keeps passing-down work either way.,low,2026-08-18
Devin Singletary,NYG,RB,,,,,0,0,,,
Chris Rodriguez Jr.,WAS,RB,,,,,0,0,,,
Tyjae Spears,TEN,RB,,,,,0,0,,,
Ty Johnson,BUF,RB,,,,,0,0,,,
Sean Tucker,TB,RB,,,,,0,0,,,
Emanuel Wilson,GB,RB,,,,,0,0,,,
Alvin Kamara,NO,RB,,,,,0,0,,,
Bhayshul Tuten,JAX,RB,lead_committee,,,,0,0,Etienne gone. Rodriguez is short-yardage/backup. Named a potential league-winner.,medium,2026-08-18
Michael Carter,ARI,RB,,,,,0,0,,,
Bam Knight,ARI,RB,,,,,0,0,,,
Nick Chubb,HOU,RB,backup,,,,0,1,,low,2026-08-18
Isiah Pacheco,DET,RB,handcuff,,,,1,0,Now Gibbs handcuff in DET. Value only if Gibbs misses time.,medium,2026-08-18
Dylan Sampson,CLE,RB,,,,,0,0,,,
Zack Moss,CIN,RB,,,,,0,0,,,
Samaje Perine,CIN,RB,,,,,0,0,,,
Gus Edwards,LAC,RB,,,,,0,0,,,
Isaiah Davis,NYJ,RB,,,,,0,0,,,
Jeremy McNichols,WAS,RB,,,,,0,0,,,
Ray Davis,BUF,RB,,,,,0,0,,,
Brian Robinson,SF,RB,,,,,0,0,,,
Justice Hill,BAL,RB,,,,,0,0,,,
Tank Bigsby,PHI,RB,handcuff,,,,0,1,Barkley handcuff.,low,2026-08-18
Emari Demercado,ARI,RB,,,,,0,0,,,
Ezekiel Elliott,DAL,RB,,,,,0,0,,,
Devin Neal,NO,RB,,,,,0,0,,,
Keaton Mitchell,BAL,RB,,,,,0,0,,,
Brashard Smith,KC,RB,,,,,0,0,,,
Ollie Gordon II,MIA,RB,,,,,0,0,,,
Trey Sermon,IND,RB,,,,,0,0,,,
Jaylen Wright,MIA,RB,,,,,0,0,,,
Audric Estimé,NO,RB,,,,,0,0,,,
Malik Davis,DAL,RB,,,,,0,0,,,
Jamaal Williams,NO,RB,,,,,0,0,,,
Zavier Scott,MIN,RB,,,,,0,0,,,
Cordarrelle Patterson,PIT,RB,,,,,0,0,,,
Kendre Miller,NO,RB,,,,,0,0,,,
Jerome Ford,CLE,RB,,,,,0,0,,,
Hunter Luepke,DAL,RB,,,,,0,0,,,
Ameer Abdullah,IND,RB,,,,,0,0,,,
D'Onta Foreman,CLE,RB,,,,,0,0,,,
Jaleel McLaughlin,DEN,RB,,,,,0,0,,,
Trey Benson,ARI,RB,,,,,0,0,,,
Patrick Taylor,SF,RB,,,,,0,0,,,
Pierre Strong,CLE,RB,,,,,0,0,,,
Jawhar Jordan,HOU,RB,,,,,0,0,,,
Chris Brooks,GB,RB,,,,,0,0,,,
Tyler Badie,DEN,RB,,,,,0,0,,,
Ty Chandler,MIN,RB,,,,,0,0,,,
Sincere McCormick,LV,RB,,,,,0,0,,,
Jaret Patterson,LAC,RB,,,,,0,0,,,
JaMycal Hasty,NE,RB,,,,,0,0,,,
Raheem Mostert,LV,RB,,,,,0,0,,,
Miles Sanders,DAL,RB,,,,,0,0,,,
Antonio Gibson,NE,RB,,,,,0,0,,,
Kenny McIntosh,SEA,RB,,,,,0,0,,,
Carson Steele,KC,RB,,,,,0,0,,,
Jordan Mims,NO,RB,,,,,0,0,,,
Jaydon Blue,DAL,RB,,,,,0,0,,,
LeQuint Allen Jr.,JAX,RB,,,,,0,0,,,
George Holani,SEA,RB,,,,,0,0,,,
Rasheen Ali,BAL,RB,,,,,0,0,,,
Dare Ogunbowale,HOU,RB,,,,,0,0,,,
Raheim Sanders,CLE,RB,,,,,0,0,,,
Will Shipley,PHI,RB,,,,,0,0,,,
Terrell Jennings,NE,RB,,,,,0,0,,,
Eric Gray,NYG,RB,,,,,0,0,,,
Braelon Allen,NYJ,RB,handcuff,,,,0,0,,low,2026-08-18
Trayveon Williams,CLE,RB,,,,,0,0,,,
Trevor Etienne,CAR,RB,,,,,0,0,,,
Kene Nwangwu,NYJ,RB,,,,,0,0,,,
Deuce Vaughn,DAL,RB,,,,,0,0,,,
DJ Giddens,IND,RB,,,,,0,0,,,
Jeff Wilson,MIA,RB,,,,,0,0,,,
Corey Kiner,ARI,RB,,,,,0,0,,,
Kaleb Johnson,PIT,RB,backup,,,,0,1,Third in a PIT committee.,low,2026-08-18
Raheem Blackshear,CAR,RB,,,,,0,0,,,
Hassan Haskins,LAC,RB,,,,,0,0,,,
British Brooks,HOU,RB,,,,,0,0,,,
AJ Dillon,PHI,RB,,,,,0,0,,,
Zamir White,LV,RB,,,,,0,0,,,
Cam Akers,SEA,RB,,,,,0,0,,,
Khalil Herbert,NYJ,RB,,,,,0,0,,,
Evan Hull,NO,RB,,,,,0,0,,,
Tahj Brooks,CIN,RB,,,,,0,0,,,
Mike Boone,CAR,RB,,,,,0,0,,,
Ronnie Rivers,LA,RB,,,,,0,0,,,
Tyler Goodson,IND,RB,,,,,0,0,,,
Dylan Laube,LV,RB,,,,,0,0,,,
Julius Chestnut,TEN,RB,,,,,0,0,,,
Reggie Gilliam,BUF,RB,,,,,0,0,,,
Dameon Pierce,KC,RB,,,,,0,0,,,
D'Ernest Johnson,NE,RB,,,,,0,0,,,
Jonathan Ward,PIT,RB,,,,,0,0,,,
DeeJay Dallas,JAX,RB,,,,,0,0,,,
Roschon Johnson,CHI,RB,,,,,0,0,,,
Patrick Ricard,BAL,RB,,,,,0,0,,,
Myles Gaskin,MIN,RB,,,,,0,0,,,
Chris Collier,LV,RB,,,,,0,0,,,
Jacob Saylors,DET,RB,,,,,0,0,,,
Kalel Mullings,TEN,RB,,,,,0,0,,,
Sione Vaki,DET,RB,,,,,0,0,,,
Craig Reynolds,DET,RB,,,,,0,0,,,
Brady Russell,SEA,RB,,,,,0,0,,,
Avery Williams,ATL,RB,,,,,0,0,,,
Isaac Guerendo,SF,RB,,,,,0,0,,,
Robbie Ouzts,SEA,RB,,,,,0,0,,,
Nyheim Hines,NO,RB,,,,,0,0,,,
Travis Homer,CHI,RB,,,,,0,0,,,
Kenneth Walker,KC,RB,bell_cow,,,,1,1,Reid funnels touches to lead back. Demercado pass-pro RB2. Big FA payday.,medium,2026-08-18
Jadarian Price,SEA,RB,lead_committee,,,,0,1,Rookie 1st-rounder. Holani got 1st-team OTA reps.,low,2026-08-18
Tyrone Tracy,NYG,RB,handcuff,,,,0,1,Skattebo starter. Tracy top-20 upside if Skattebo misses time.,medium,2026-08-18
Jeremiyah Love,ARI,RB,bell_cow,,,,0,0,"Rookie bell_cow on weak ARI team — no RB competition, all carries go to Love. Weak team = lower volume ceiling, but no timeshare. ROOKIE — projection uses positional-median efficiency.",low,2026-08-28
Jonathon Brooks,CAR,RB,lead_committee,,,,0,0,UPDATE Aug: Hubbard hamstring has catapulted Brooks up boards. 2 ACLs is the risk.,low,2026-08-18
Emmett Johnson,KC,RB,backup,,,,0,1,Rookie. Better receiver than Walker/Demercado - could take 3rd down work.,low,2026-08-18
Chris Rodriguez,JAX,RB,backup,,,,0,0,Short-yardage/TD role behind Tuten. 6 career catches.,low,2026-08-18
