player_name,team,position,role_tier,touch_share,target_share,job_security,team_changed,new_play_caller,situation_note,confidence,last_updated
Josh Whyle,GB,TE,,,,,0,0,,,
Hayden Hurst,LAC,TE,,,,,0,0,,,
David Martin-Robinson,TEN,TE,,,,,0,0,,,
Andrew Ogletree,IND,TE,,,,,0,0,,,
Josiah Deguara,ARI,TE,,,,,0,0,,,
Foster Moreau,NO,TE,,,,,0,0,,,
Anthony Firkser,DET,TE,,,,,0,0,,,
Charlie Woerner,ATL,TE,,,,,0,0,,,
Stone Smartt,NYJ,TE,,,,,0,0,,,
Gerald Everett,CHI,TE,,,,,0,0,,,
Peyton Hendershot,KC,TE,,,,,0,0,,,
Kylen Granson,PHI,TE,,,,,0,0,,,
Devin Culp,TB,TE,,,,,0,0,,,
Eric Saubert,SEA,TE,,,,,0,0,,,
Brenden Bates,CLE,TE,,,,,0,0,,,
Tip Reiman,ARI,TE,,,,,0,0,,,
Ben Sims,GB,TE,,,,,0,0,,,
Cam Grandy,CIN,TE,,,,,0,0,,,
Will Mallory,IND,TE,,,,,0,0,,,
Durham Smythe,CHI,TE,,,,,0,0,,,
Jaheim Bell,NE,TE,,,,,0,0,,,
Tucker Fisk,LAC,TE,,,,,0,0,,,
Colson Yankoff,WAS,TE,,,,,0,0,,,
Ben Yurosek,MIN,TE,,,,,0,0,,,
Eric Tomlinson,LAC,TE,,,,,0,0,,,
Ross Dwelley,DET,TE,,,,,0,0,,,
Harrison Bryant,HOU,TE,,,,,0,0,,,
Payne Durham,TB,TE,,,,,0,0,,,
Blake Whiteheart,CLE,TE,,,,,0,0,,,
Chris Manhertz,NYG,TE,,,,,0,0,,,
Pharaoh Brown,ARI,TE,,,,,0,0,,,
Marcedes Lewis,CHI,TE,,,,,0,0,,,
Jack Westover,NE,TE,,,,,0,0,,,
Feleipe Franks,ATL,TE,,,,,0,0,,,
Cameron Latu,PHI,TE,,,,,0,0,,,
Brayden Willis,SF,TE,,,,,0,0,,,
Nick Kallerup,SEA,TE,,,,,0,0,,,
Harold Fannin,CLE,TE,te1,,,,0,1,"Lost Stefanski (TE whisperer), gained two rookie WRs. QB battle Watson vs Sanders is the swing factor.",medium,2026-08-18
Chigoziem Okonkwo,WAS,TE,te1,,,,1,1,Target competition for McLaurin - real role in a thin WAS receiving corps.,medium,2026-08-18
